=== Class-Wise Adaptive Fusion Training Log with SAM ===
Epoch 095 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7142 | Train: 100.00% | ★Test: 47.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 096 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7143 | Train: 100.00% | ★Test: 47.61% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 097 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7140 | Train: 100.00% | ★Test: 47.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 098 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7138 | Train: 100.00% | ★Test: 47.43% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 099 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7135 | Train: 100.00% | ★Test: 46.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 100 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7136 | Train: 100.00% | ★Test: 47.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 101 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.001000] -> Loss: 0.7040 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 0.983 / L-Gate_Avg: 0.017]
Epoch 102 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000999] -> Loss: 0.7040 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 0.932 / L-Gate_Avg: 0.068]
Epoch 103 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000996] -> Loss: 0.7040 | Train: 100.00% | ★Test: 79.23% | [G-Gate_Avg: 0.776 / L-Gate_Avg: 0.224]
Epoch 104 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000991] -> Loss: 0.7042 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 0.715 / L-Gate_Avg: 0.285]
Epoch 105 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000984] -> Loss: 0.7042 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 0.678 / L-Gate_Avg: 0.322]
Epoch 106 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000976] -> Loss: 0.7042 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 0.672 / L-Gate_Avg: 0.328]
Epoch 107 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000965] -> Loss: 0.7042 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 0.679 / L-Gate_Avg: 0.321]
Epoch 108 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000952] -> Loss: 0.7041 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.659 / L-Gate_Avg: 0.341]
Epoch 109 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000938] -> Loss: 0.7042 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 0.652 / L-Gate_Avg: 0.348]
