=== Class-Wise Adaptive Fusion Training Log ===
Epoch 081 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7604 | Train: 100.00% | ★Test: 42.28% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7556 | Train: 100.00% | ★Test: 42.46% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7503 | Train: 100.00% | ★Test: 42.83% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7512 | Train: 100.00% | ★Test: 42.46% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 085 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7475 | Train: 100.00% | ★Test: 45.22% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 086 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7450 | Train: 100.00% | ★Test: 42.28% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 087 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7418 | Train: 100.00% | ★Test: 44.30% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 088 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7386 | Train: 100.00% | ★Test: 44.67% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 089 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7384 | Train: 100.00% | ★Test: 44.85% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 090 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7369 | Train: 100.00% | ★Test: 43.38% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 091 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7336 | Train: 100.00% | ★Test: 44.67% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 092 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7333 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 093 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7322 | Train: 100.00% | ★Test: 43.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 094 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7315 | Train: 100.00% | ★Test: 45.22% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 095 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7315 | Train: 100.00% | ★Test: 43.75% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 096 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7318 | Train: 100.00% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 097 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7317 | Train: 100.00% | ★Test: 43.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 098 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7299 | Train: 100.00% | ★Test: 44.12% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 099 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7298 | Train: 100.00% | ★Test: 44.12% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 100 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7291 | Train: 100.00% | ★Test: 44.30% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
