=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 073 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.8197 | Train: 99.94% | ★Test: 39.34% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.8011 | Train: 100.00% | ★Test: 39.89% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7896 | Train: 100.00% | ★Test: 41.36% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7816 | Train: 100.00% | ★Test: 36.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7730 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7680 | Train: 100.00% | ★Test: 40.81% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7642 | Train: 100.00% | ★Test: 39.71% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7618 | Train: 100.00% | ★Test: 40.81% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 081 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7591 | Train: 100.00% | ★Test: 38.79% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7538 | Train: 100.00% | ★Test: 42.65% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7535 | Train: 100.00% | ★Test: 40.99% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7465 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 085 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7443 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 086 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7418 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 087 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7421 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 088 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7399 | Train: 100.00% | ★Test: 40.81% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 089 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7350 | Train: 100.00% | ★Test: 42.83% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 090 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7344 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 091 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7342 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 092 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7334 | Train: 100.00% | ★Test: 43.01% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 093 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7313 | Train: 100.00% | ★Test: 42.28% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 094 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7309 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 095 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7292 | Train: 100.00% | ★Test: 40.99% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 096 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7298 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 097 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7288 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 098 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7278 | Train: 100.00% | ★Test: 42.65% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 099 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7294 | Train: 100.00% | ★Test: 41.73% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 100 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7283 | Train: 100.00% | ★Test: 41.91% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]

🔄 [Stage-2 Transition] Stage-2の最高精度重み (43.01%) をロードしてStage-3へ移行します。

Epoch 101 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.001000] -> Loss: 0.7216 | Train: 100.00% | ★Test: 68.75% | [G-Gate_Avg: 0.474 / L-Gate_Avg: 0.526]
Epoch 102 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000999] -> Loss: 0.7209 | Train: 100.00% | ★Test: 67.46% | [G-Gate_Avg: 0.465 / L-Gate_Avg: 0.535]
Epoch 103 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000996] -> Loss: 0.7211 | Train: 100.00% | ★Test: 65.81% | [G-Gate_Avg: 0.469 / L-Gate_Avg: 0.531]
Epoch 104 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000991] -> Loss: 0.7213 | Train: 100.00% | ★Test: 70.22% | [G-Gate_Avg: 0.468 / L-Gate_Avg: 0.532]
Epoch 105 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000984] -> Loss: 0.7196 | Train: 100.00% | ★Test: 69.67% | [G-Gate_Avg: 0.460 / L-Gate_Avg: 0.540]
Epoch 106 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000976] -> Loss: 0.7192 | Train: 100.00% | ★Test: 71.69% | [G-Gate_Avg: 0.471 / L-Gate_Avg: 0.529]
Epoch 107 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000965] -> Loss: 0.7195 | Train: 100.00% | ★Test: 68.20% | [G-Gate_Avg: 0.455 / L-Gate_Avg: 0.545]
Epoch 108 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000952] -> Loss: 0.7188 | Train: 100.00% | ★Test: 67.28% | [G-Gate_Avg: 0.465 / L-Gate_Avg: 0.535]
