=== 3-Stage Cascaded Reset Optimization Pipeline ===
Epoch 111 [STAGE-3 (All-Synch) | LR: 0.000271] -> Loss: 0.7222 | Train: 100.00% | ★Test: 74.26% | [G-Gate: 0.501 / L-Gate: 0.499]
Epoch 112 [STAGE-3 (All-Synch) | LR: 0.000266] -> Loss: 0.7213 | Train: 100.00% | ★Test: 76.29% | [G-Gate: 0.502 / L-Gate: 0.498]
Epoch 113 [STAGE-3 (All-Synch) | LR: 0.000259] -> Loss: 0.7189 | Train: 100.00% | ★Test: 74.45% | [G-Gate: 0.503 / L-Gate: 0.497]
Epoch 114 [STAGE-3 (All-Synch) | LR: 0.000253] -> Loss: 0.7180 | Train: 100.00% | ★Test: 73.90% | [G-Gate: 0.505 / L-Gate: 0.495]
Epoch 115 [STAGE-3 (All-Synch) | LR: 0.000246] -> Loss: 0.7159 | Train: 100.00% | ★Test: 73.71% | [G-Gate: 0.506 / L-Gate: 0.494]
Epoch 116 [STAGE-3 (All-Synch) | LR: 0.000238] -> Loss: 0.7150 | Train: 100.00% | ★Test: 75.55% | [G-Gate: 0.507 / L-Gate: 0.493]
Epoch 117 [STAGE-3 (All-Synch) | LR: 0.000230] -> Loss: 0.7140 | Train: 100.00% | ★Test: 74.63% | [G-Gate: 0.509 / L-Gate: 0.491]
Epoch 118 [STAGE-3 (All-Synch) | LR: 0.000222] -> Loss: 0.7130 | Train: 100.00% | ★Test: 74.82% | [G-Gate: 0.510 / L-Gate: 0.490]
Epoch 119 [STAGE-3 (All-Synch) | LR: 0.000214] -> Loss: 0.7118 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 0.511 / L-Gate: 0.489]
Epoch 120 [STAGE-3 (All-Synch) | LR: 0.000205] -> Loss: 0.7114 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 0.512 / L-Gate: 0.488]
Epoch 121 [STAGE-3 (All-Synch) | LR: 0.000196] -> Loss: 0.7106 | Train: 100.00% | ★Test: 76.10% | [G-Gate: 0.513 / L-Gate: 0.487]
Epoch 122 [STAGE-3 (All-Synch) | LR: 0.000187] -> Loss: 0.7103 | Train: 100.00% | ★Test: 75.55% | [G-Gate: 0.514 / L-Gate: 0.486]
Epoch 123 [STAGE-3 (All-Synch) | LR: 0.000178] -> Loss: 0.7100 | Train: 100.00% | ★Test: 75.92% | [G-Gate: 0.515 / L-Gate: 0.485]
Epoch 124 [STAGE-3 (All-Synch) | LR: 0.000169] -> Loss: 0.7095 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 0.516 / L-Gate: 0.484]
Epoch 125 [STAGE-3 (All-Synch) | LR: 0.000159] -> Loss: 0.7087 | Train: 100.00% | ★Test: 76.84% | [G-Gate: 0.517 / L-Gate: 0.483]
Epoch 126 [STAGE-3 (All-Synch) | LR: 0.000150] -> Loss: 0.7083 | Train: 100.00% | ★Test: 77.39% | [G-Gate: 0.518 / L-Gate: 0.482]
Epoch 127 [STAGE-3 (All-Synch) | LR: 0.000141] -> Loss: 0.7079 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 0.518 / L-Gate: 0.482]
Epoch 128 [STAGE-3 (All-Synch) | LR: 0.000131] -> Loss: 0.7081 | Train: 100.00% | ★Test: 78.68% | [G-Gate: 0.519 / L-Gate: 0.481]
Epoch 129 [STAGE-3 (All-Synch) | LR: 0.000122] -> Loss: 0.7074 | Train: 100.00% | ★Test: 76.29% | [G-Gate: 0.520 / L-Gate: 0.480]
Epoch 130 [STAGE-3 (All-Synch) | LR: 0.000113] -> Loss: 0.7066 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.520 / L-Gate: 0.480]
Epoch 131 [STAGE-3 (All-Synch) | LR: 0.000104] -> Loss: 0.7068 | Train: 100.00% | ★Test: 76.84% | [G-Gate: 0.521 / L-Gate: 0.479]
Epoch 132 [STAGE-3 (All-Synch) | LR: 0.000095] -> Loss: 0.7064 | Train: 100.00% | ★Test: 77.39% | [G-Gate: 0.521 / L-Gate: 0.479]
Epoch 133 [STAGE-3 (All-Synch) | LR: 0.000086] -> Loss: 0.7062 | Train: 100.00% | ★Test: 77.39% | [G-Gate: 0.522 / L-Gate: 0.478]
Epoch 134 [STAGE-3 (All-Synch) | LR: 0.000078] -> Loss: 0.7060 | Train: 100.00% | ★Test: 76.65% | [G-Gate: 0.522 / L-Gate: 0.478]
Epoch 135 [STAGE-3 (All-Synch) | LR: 0.000070] -> Loss: 0.7059 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.523 / L-Gate: 0.477]
