=== Class-Wise Adaptive Fusion Training Log (3-Stage with ASAM) ===
Epoch 059 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000281 | Gt-LR: 0.000000] -> Loss: 2.0837 | Train: 51.13% | ★Test: 35.48% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 060 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000277 | Gt-LR: 0.000000] -> Loss: 1.9152 | Train: 60.02% | ★Test: 35.11% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 061 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000271 | Gt-LR: 0.000000] -> Loss: 1.7217 | Train: 68.19% | ★Test: 37.87% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 062 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000266 | Gt-LR: 0.000000] -> Loss: 1.5273 | Train: 78.66% | ★Test: 34.56% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 063 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000259 | Gt-LR: 0.000000] -> Loss: 1.3889 | Train: 82.43% | ★Test: 34.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 064 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000253 | Gt-LR: 0.000000] -> Loss: 1.2407 | Train: 89.92% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 065 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000246 | Gt-LR: 0.000000] -> Loss: 1.1192 | Train: 94.54% | ★Test: 38.97% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 066 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000238 | Gt-LR: 0.000000] -> Loss: 1.0524 | Train: 96.06% | ★Test: 42.46% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 067 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000230 | Gt-LR: 0.000000] -> Loss: 1.0100 | Train: 96.96% | ★Test: 44.67% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 068 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000222 | Gt-LR: 0.000000] -> Loss: 0.9326 | Train: 99.04% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 069 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000214 | Gt-LR: 0.000000] -> Loss: 0.8996 | Train: 98.87% | ★Test: 46.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 070 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.8798 | Train: 99.32% | ★Test: 42.65% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.8546 | Train: 99.66% | ★Test: 44.12% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.8280 | Train: 99.94% | ★Test: 46.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 073 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.8184 | Train: 99.89% | ★Test: 47.43% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.8160 | Train: 99.89% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7947 | Train: 100.00% | ★Test: 45.22% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7850 | Train: 100.00% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7807 | Train: 100.00% | ★Test: 45.22% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7761 | Train: 100.00% | ★Test: 45.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7710 | Train: 100.00% | ★Test: 44.30% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7648 | Train: 100.00% | ★Test: 45.96% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 081 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7604 | Train: 100.00% | ★Test: 44.30% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7569 | Train: 100.00% | ★Test: 46.14% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7519 | Train: 100.00% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7487 | Train: 100.00% | ★Test: 44.67% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 085 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7466 | Train: 100.00% | ★Test: 44.49% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 086 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7454 | Train: 100.00% | ★Test: 44.30% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 087 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7414 | Train: 100.00% | ★Test: 43.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 088 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7411 | Train: 100.00% | ★Test: 44.85% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 089 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7393 | Train: 100.00% | ★Test: 44.67% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 090 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7380 | Train: 100.00% | ★Test: 45.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 091 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7382 | Train: 100.00% | ★Test: 42.83% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 092 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7357 | Train: 100.00% | ★Test: 45.96% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 093 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7347 | Train: 100.00% | ★Test: 43.38% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 094 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7354 | Train: 100.00% | ★Test: 44.49% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
