=== THUE-ACT-50 CHL (2-Stage Global-First Sequential Training) ===
===================================================================
Epoch 070/100 [PHASE-2 (Fused) | Bb-LR: 0.000066 / Gt-LR: 0.00270] -> Loss: 0.7059 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.04%) | [G-Gate: 0.756 / L-Gate: 0.244]
Epoch 071/100 [PHASE-2 (Fused) | Bb-LR: 0.000062 / Gt-LR: 0.00243] -> Loss: 0.7058 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.85%) | [G-Gate: 0.757 / L-Gate: 0.243]
Epoch 072/100 [PHASE-2 (Fused) | Bb-LR: 0.000058 / Gt-LR: 0.00219] -> Loss: 0.7055 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 94.85%) | [G-Gate: 0.757 / L-Gate: 0.243]
Epoch 073/100 [PHASE-2 (Fused) | Bb-LR: 0.000054 / Gt-LR: 0.00197] -> Loss: 0.7055 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.04%) | [G-Gate: 0.759 / L-Gate: 0.241]
Epoch 074/100 [PHASE-2 (Fused) | Bb-LR: 0.000051 / Gt-LR: 0.00177] -> Loss: 0.7053 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.85%) | [G-Gate: 0.760 / L-Gate: 0.240]
Epoch 075/100 [PHASE-2 (Fused) | Bb-LR: 0.000047 / Gt-LR: 0.00160] -> Loss: 0.7051 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.40%) | [G-Gate: 0.760 / L-Gate: 0.240]
Epoch 076/100 [PHASE-2 (Fused) | Bb-LR: 0.000044 / Gt-LR: 0.00144] -> Loss: 0.7050 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 95.22%) | [G-Gate: 0.761 / L-Gate: 0.239]
Epoch 077/100 [PHASE-2 (Fused) | Bb-LR: 0.000041 / Gt-LR: 0.00129] -> Loss: 0.7051 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.22%) | [G-Gate: 0.762 / L-Gate: 0.238]
Epoch 078/100 [PHASE-2 (Fused) | Bb-LR: 0.000037 / Gt-LR: 0.00116] -> Loss: 0.7049 | Train Top-1: 100.00% | ★Test Top-1: 73.71% (Top-5: 95.59%) | [G-Gate: 0.762 / L-Gate: 0.238]
Epoch 079/100 [PHASE-2 (Fused) | Bb-LR: 0.000034 / Gt-LR: 0.00105] -> Loss: 0.7049 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.96%) | [G-Gate: 0.763 / L-Gate: 0.237]
Epoch 080/100 [PHASE-2 (Fused) | Bb-LR: 0.000031 / Gt-LR: 0.00094] -> Loss: 0.7048 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.59%) | [G-Gate: 0.763 / L-Gate: 0.237]
Epoch 081/100 [PHASE-2 (Fused) | Bb-LR: 0.000029 / Gt-LR: 0.00085] -> Loss: 0.7048 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.40%) | [G-Gate: 0.764 / L-Gate: 0.236]
Epoch 082/100 [PHASE-2 (Fused) | Bb-LR: 0.000026 / Gt-LR: 0.00076] -> Loss: 0.7046 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.40%) | [G-Gate: 0.764 / L-Gate: 0.236]
Epoch 083/100 [PHASE-2 (Fused) | Bb-LR: 0.000023 / Gt-LR: 0.00069] -> Loss: 0.7045 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.59%) | [G-Gate: 0.764 / L-Gate: 0.236]
Epoch 084/100 [PHASE-2 (Fused) | Bb-LR: 0.000021 / Gt-LR: 0.00062] -> Loss: 0.7046 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.04%) | [G-Gate: 0.765 / L-Gate: 0.235]
Epoch 085/100 [PHASE-2 (Fused) | Bb-LR: 0.000019 / Gt-LR: 0.00056] -> Loss: 0.7045 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.22%) | [G-Gate: 0.765 / L-Gate: 0.235]
Epoch 086/100 [PHASE-2 (Fused) | Bb-LR: 0.000016 / Gt-LR: 0.00050] -> Loss: 0.7045 | Train Top-1: 100.00% | ★Test Top-1: 75.37% (Top-5: 95.59%) | [G-Gate: 0.766 / L-Gate: 0.234]
Epoch 087/100 [PHASE-2 (Fused) | Bb-LR: 0.000014 / Gt-LR: 0.00045] -> Loss: 0.7044 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 94.85%) | [G-Gate: 0.766 / L-Gate: 0.234]
